ID;LNG_LOJA;LAT_LOJA;LNG_FRIGO;LAT_FRIGO
boi738;-35,289728;-5,68743;-51,15170528;-27,00612907
boi739;-35,289721;-5,687426;-48,28029255;-17,30058111
boi740;-35,289727;-5,687429;-48,28029255;-17,30058111
boi741;-35,289723;-5,687426;-46,98234347;-22,70678196
boi742;-35,28973;-5,687431;-46,98234347;-22,70678196
boi743;-35,289729;-5,687427;-50,92968093;-17,7945434
boi744;-35,289698;-5,687424;-52,61703111;-27,10683702
boi745;-35,289732;-5,687432;-52,61703111;-27,10683702
boi746;-35,289729;-5,68743;-47,84946403;-23,3485765
boi747;-35,289733;-5,687431;-52,2758769;-27,63340581
boi748;-35,289715;-5,687424;-48,27795018;-18,91899861
boi749;-35,289723;-5,687428;-52,61703111;-27,10683702
boi750;-35,289721;-5,687426;-51,15170528;-27,00612907
boi751;-35,289718;-5,687425;-47,37677424;-23,04253672
boi752;-35,289724;-5,687428;-47,37677424;-23,04253672
boi753;-35,289706;-5,687419;-46,82124801;-22,4360055
boi754;-35,289737;-5,687433;-48,97587094;-21,1395385
boi755;-35,289724;-5,687428;-48,97587094;-21,1395385
boi756;-35,289724;-5,687429;-54,56456909;-19,39552137
boi757;-35,289725;-5,687429;-50,92968093;-17,7945434
boi758;-35,289714;-5,687422;-34,91058339;-7,82837199
boi759;-35,289718;-5,687424;-46,78881014;-23,533612
boi760;-35,28973;-5,687428;-48,42480679;-7,633314911
boi761;-35,289725;-5,687429;-48,20870525;-7,19132894
boi762;-35,289728;-5,68743;-64,3068142;-9,153592584
boi763;-35,28973;-5,687432;-49,07147747;-11,72977232
boi765;-35,289733;-5,687432;-52,61703111;-27,10683702
boi766;-35,289719;-5,687429;-35,29386424;-8,118748
boi767;-35,289726;-5,687426;-34,91058339;-7,82837199
boi768;-35,289728;-5,687427;-35,29386424;-8,118748
boi769;-35,28971;-5,687416;-50,92968093;-17,7945434
boi770;-35,289726;-5,687428;-52,61703111;-27,10683702
boi771;-35,289728;-5,687433;-54,56456909;-19,39552137
